Event Type,Name of the Event,Sport,Date,Location
tournament,The Battle 2026,Basketball,"Oct 10, 2026","Martinez, California"
tournament,Playing For Pink: Breast Cancer Awareness 2026,Basketball,"Oct 31 - Nov 1, 2026","Martinez, California"
tournament,Volleyball Tournament,Volleyball,"Jan 1 - 5, 2030","Buenos Aires, Ciudad Autónoma de Buenos Aires"
tournament,Soccer Tournament,Soccer,"Aug 16 - 23, 2030","Buenos Aires, Ciudad Autónoma de Buenos Aires"
tournament,[COPY] Soccer Tournament,Soccer,"Aug 16 - 23, 2030","Buenos Aires, Ciudad Autónoma de Buenos Aires"
tournament,The Battle 2026,Basketball,"Oct 10, 2026","Martinez, California"
tournament,Playing For Pink: Breast Cancer Awareness 2026,Basketball,"Oct 31 - Nov 1, 2026","Martinez, California"
tournament,Volleyball Tournament,Volleyball,"Jan 1 - 5, 2030","Buenos Aires, Ciudad Autónoma de Buenos Aires"
tournament,Soccer Tournament,Soccer,"Aug 16 - 23, 2030","Buenos Aires, Ciudad Autónoma de Buenos Aires"
tournament,[COPY] Soccer Tournament,Soccer,"Aug 16 - 23, 2030","Buenos Aires, Ciudad Autónoma de Buenos Aires"
tournament,The Battle 2026,Basketball,"Oct 10, 2026","Martinez, California"
tournament,Playing For Pink: Breast Cancer Awareness 2026,Basketball,"Oct 31 - Nov 1, 2026","Martinez, California"
tournament,Volleyball Tournament,Volleyball,"Jan 1 - 5, 2030","Buenos Aires, Ciudad Autónoma de Buenos Aires"
tournament,Soccer Tournament,Soccer,"Aug 16 - 23, 2030","Buenos Aires, Ciudad Autónoma de Buenos Aires"
tournament,[COPY] Soccer Tournament,Soccer,"Aug 16 - 23, 2030","Buenos Aires, Ciudad Autónoma de Buenos Aires"
tournament,The Battle 2026,Basketball,"Oct 10, 2026","Martinez, California"
tournament,Playing For Pink: Breast Cancer Awareness 2026,Basketball,"Oct 31 - Nov 1, 2026","Martinez, California"
tournament,Volleyball Tournament,Volleyball,"Jan 1 - 5, 2030","Buenos Aires, Ciudad Autónoma de Buenos Aires"
tournament,Soccer Tournament,Soccer,"Aug 16 - 23, 2030","Buenos Aires, Ciudad Autónoma de Buenos Aires"
tournament,[COPY] Soccer Tournament,Soccer,"Aug 16 - 23, 2030","Buenos Aires, Ciudad Autónoma de Buenos Aires"
tournament,The Battle 2026,Basketball,"Oct 10, 2026","Martinez, California"
tournament,Playing For Pink: Breast Cancer Awareness 2026,Basketball,"Oct 31 - Nov 1, 2026","Martinez, California"
tournament,Volleyball Tournament,Volleyball,"Jan 1 - 5, 2030","Buenos Aires, Ciudad Autónoma de Buenos Aires"
tournament,Soccer Tournament,Soccer,"Aug 16 - 23, 2030","Buenos Aires, Ciudad Autónoma de Buenos Aires"
tournament,[COPY] Soccer Tournament,Soccer,"Aug 16 - 23, 2030","Buenos Aires, Ciudad Autónoma de Buenos Aires"
tournament,The Battle 2026,Basketball,"Oct 10, 2026","Martinez, California"
tournament,Playing For Pink: Breast Cancer Awareness 2026,Basketball,"Oct 31 - Nov 1, 2026","Martinez, California"
tournament,Volleyball Tournament,Volleyball,"Jan 1 - 5, 2030","Buenos Aires, Ciudad Autónoma de Buenos Aires"
tournament,Soccer Tournament,Soccer,"Aug 16 - 23, 2030","Buenos Aires, Ciudad Autónoma de Buenos Aires"
tournament,[COPY] Soccer Tournament,Soccer,"Aug 16 - 23, 2030","Buenos Aires, Ciudad Autónoma de Buenos Aires"
